type,title,date,authors,doi,publisher,venue,location
article-journal,Unravel the landscape and pulses of cycling activities from a dockless bike-sharing system,2019,"['Y. Xu', 'D. Chen', 'X. Zhang', 'W. Tu', 'Y. Chen', 'Y. Shen', 'C. Ratti']",temp1988,,"Computers, Environment and Urban Systems",
paper-conference,Revealing Travel Patterns of Sharing-Bikes in a Spatial-Temporal Manner Using Non-Negative Matrix Factorization Method,2018,"['Y. Dong', 'Z. Yang', 'Y. Yue', 'X. Pei', 'Z. Zhang']",10.1061/9780784481523.165,,The 18th COTA International Conference of Transportation Professionals,
paper-conference,Docked vs. Dockless Bike-sharing: Contrasting Spatiotemporal Patterns,2018,['G. McKenzie'],temp1990,,10th International Conference on Geographic Information Science (GIScience 2018). Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik,
article-journal,Are all cities with similar urban form or not? Redefining cities with ubiquitous points of interest and evaluating them with indicators at city and block levels in China,2018,"['Y. Song', 'Y. Long', 'P. Wu', 'X. Wang']",full/10.1080/13658816.2018.1511793,,International Journal of Geographical Information Science,
article-journal,Tensor decompositions and applications,2009,"['T.G. Kolda', 'B.W. Bader']",temp1992,,SIAM review,
research-article,Visual predictive modeling of incomplete time series panel data,2019,"['Hanbyul Yeon', 'Mingyu Pi', 'Hyesook Son', 'Yun Jang']",10.1145/3356422.3356439,ACM,vinci,
paper-conference,Experiences from supporting predictive analytics of vehicle traffic,2014,"['Natalia Andrienko', 'Gennady Andrienko', 'Salvatore Rinzivillo']",temp1993,IEEE,Proc. IEEE VIS Workshop VIS,"Paris, France"
article-journal,Visual analytics for model selection in time series analysis,"['2013', '2013']","['M. Bögl', 'P.Filzmoser W. Aigner', 'T. Lammarsch', 'S. Miksch', 'A. Rind']",10.1109/TVCG.2013.222,,IEEE Trans. on Vis and Computer Graphics,
,D3: Data-Driven Documents,2011,"['M. Bostock', 'V. Ogievetsky', 'J. Heer']",10.1109/TVCG.2011.185,,,
paper-conference,Predictive Visual Analytics: Approaches for Movie Ratings and Discussion of Open Research Challenges,2014,"['MJentner El-Assady', 'MFischer W.Stein', ' F.Schreck', 'DKeim ']",temp1996,IEEE,Proc. IEEE VIS Workshop,France
article-journal,Predictive visual analytics of event evolution for user-created context,"['2017', '2017']","['H. Yeon', 'S. Kim', 'Y. Jang']",10.1007/s12650-016-0373-7,,Journal of Visualization,
,,2016,['Highcharts '],temp1998,,,
paper-conference,Interacting with predictions: Visual inspection of black-box machine learning models,2016,"['J. Krause', 'A. Perer', 'K. Ng']",temp1999,,"Proc. of the 2016 CHI Conference on Human Factors in Computing Systems. ACM, ACM","San Jose, USA"
article-journal,Individual differences in boys' and girls' timing and tempo of puberty: Modeling development with nonlinear growth models,"['2011', '2011']","['Marceau K.', 'Ram N.', 'Houts R. M.', 'Grimm K. J.', 'Susman E.J']",temp2000,,Developmental psychology,
article-journal,INFUSE: interactive feature selection for predictive modeling of high dimensional data,"['2014', '2014']",['Bertini E.Krause J.Perer A'],temp2001,,IEEE Trans. on Vis and computer graphics,
article-journal,Height prediction from ulna length,"['2004', '2004']","['Gauld L.M.', 'Kappers J.', 'Carlin J.B.', 'Robertson C.F']",temp2002,,Developmental medicine and child neurology,
paper-conference,Integrating predictive analytics and social media,"['2014', '193--202']","['Y. Lu', 'D.Thom R. Krüger', 'F. Wang']",temp2003,on Visual Analytics Science and Technology. IEEE,Proc. of IEEE Conf,France
article-journal,Proactive spatiotemporal resource allocation and predictive visual analytics for community policing and law enforcement,"['2014', '2014']","['Maciejewski RTowers S.McCullough S.Malik A.', 'Ebert D.S']",temp2004,,IEEE Trans. on Vis and Computer Graphics,
chapter,A Visual Analytics Approach for Peak-Preserving Prediction of Large Seasonal Time Series,2011,"['Hao M.C.', 'Janetzko H.', 'Mittelstadt S.', 'Hill W.', 'Dayal U.', 'Keim D.A.', 'Sharma R.K']",temp2005,,"Computer Graphics Forum. Eurographics, UK",
article-journal,A partition-based framework for building and validating regression models,"['2013', '2013']","['Thomas Mühlbacher', 'Harald Piringer']",10.1109/TVCG.2013.125,,IEEE Trans. on Vis and Computer Graphics,
article-journal,PARAMO: A PARAllel predictive MOdeling platform for healthcare analytic research using electronic health records,"['2014', '2014']","['Kenney Ng', 'Amol Ghoting', 'Steven R. Steinhubl', 'Walter F. Stewart', 'Bradley Malin', 'Jimeng Sun']",10.1016/j.jbi.2013.12.012,,Journal of biomedical informatics,
article-journal,Relationship between physical growth and motor development in the WHO Child Growth Standards,"['2006', '2006']",['Mercedes Onis'],temp2008,,Acta Paediatrica,
article-journal,Growth and pubertal development in children and adolescents: effects of diet and physical activity,"['2000', '2000']","['Alan D. Rogol', 'Pamela A. Clark', 'James N. Roemmich']",temp2009,,The American journal of clinical nutrition,
article-journal,Prediction of adult height using maturity-based cumulative height velocity curves,"['2005', '2005']","['Lauren B. Sherar', 'Robert L. Mirwald', 'Adam D.G. Baxter-Jones', 'Martine Thomis']",temp2010,,The Journal of pediatrics,
article-journal,Relative effect of genetic and environmental factors on body height: differences across birth cohorts among Finnish men and women,"['2000', '2000']","['Lahelma E.Silventoinen K.', 'Kaprio J.', 'Koskenvuo M']",temp2011,,American journal of public health,
article-journal,Ovis: A framework for visual analysisof ocean forecast ensembles,"['2014', '2014']","['Hollt T.', 'Magdy A.', 'Zhan P.', 'Chen G.', 'Gopalakrishnan G.', 'Hoteit I.', 'Hadwiger M']",10.1109/TVCG.2014.2307892,,IEEE Trans. on Vis and Computer Graphics,
article-journal,Predicting physical activity in 10-12 year old children: A social ecological approach,"['2015', '2015']","['Tao Zhang', 'Katherine Thomas', 'Karen Weiller']",temp2013,,Journal of Teaching in Physical Education,
research-article,Frequent Pattern-based Graph Exploration,2019,"['Kai Yan', 'Weiwei Cui', 'Tiejun Zhao']",10.1145/3356422.3356446,ACM,vinci,
,Large Graph Exploration via Subgraph Discovery and Decomposition,2018,"['James Abello', 'Fred Hohman', 'Varun Bezzam', 'Duen Horng Chau']",1808.04414,,,
,,"['2018', '2018']","['Nesreen K. Ahmed', 'Ryan Rossi', 'John Boaz Lee', 'Theodore L. Willke', 'Rong Zhou', 'Xi-angnan Kong', 'Hoda Eldardiry']",1802.02896,,,
article-journal,"Subgraph isomorphism, matching relational structures and maximal cliques","['1976', '1976']","['H.G. Barrow', 'R.M. Burstall']",temp2016,,Inform. Process. Lett,
,Role action embeddings: scalable representation of network positions,"['2018', '2018']",['George Berry'],1811.08019,,,
paper-conference,Mining Large Networks with Subgraph Counting,2009,"['I. Bordino', 'D. Donato', 'A. Gionis', 'S. Leonardi']",temp2018,,Eighth IEEE International Conference on Data Mining,
article-journal,Structure-Based Suggestive Exploration: A New Approach for Effective Exploration of Large Networks,"['2019', '2019-01']","['Wei Chen', 'Fangzhou Guo', 'Dongming Han', 'Jacheng Pan', 'Xiaotao Nie', 'Jiazhi Xia', 'Xiaolong Zhang']",10.1109/TVCG.2018.2865139,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,"Motif Simplification: Improving Network Visualization Readability with Fan, Connector, and Clique Glyphs",2013,"['Cody Dunne', 'Ben Shneiderman']",10.1145/2470654.2466444,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (CHI '13). ACM,"New York, NY, USA"
article-journal,GraMi: Frequent Subgraph and Pattern Mining in a Single Large Graph,"['2014', '2014-03']","['Mohammed Elseidy', 'Ehab Abdelhamid', 'Spiros Skiadopoulos', 'Panos Kalnis']",10.14778/2732286.2732289,,Proc. VLDB Endow,
paper-conference,Subgraph support in a single large graph,2007,"['Mathias Fiedler', 'Christian Borgelt']",10.1109/ICDMW.2007.74,IEEE,Seventh IEEE International Conference on Data Mining Workshops (ICDMW 2007,
article-journal,"Graph embedding techniques, applications, and performance: A survey","['2018', '2018']","['Palash Goyal', 'Emilio Ferrara']",temp2023,,Knowledge-Based Systems,
paper-conference,node2vec: Scalable feature learning for networks,2016,"['Aditya Grover', 'Jure Leskovec']",10.1145/2939672.2939754,,Proceedings of the 22nd ACM SIGKDD international conference on Knowledge discovery and data mining. ACM,
paper-conference,An apriori-based algorithm for mining frequent substructures from graph data,2000,"['Akihiro Inokuchi', 'Takashi Washio', 'Hiroshi Motoda']",temp2025,Springer,European conference on principles of data mining and knowledge discovery,
article-journal,Finding frequent patterns in a large sparse graph,"['2005', '2005']","['Michihiro Kuramochi', 'George Karypis']",temp2026,,Data mining and knowledge discovery,
article-journal,Graph Evolution: Densification and Shrinking Diameters,"['2007', '2007-03']","['Jure Leskovec', 'Jon Kleinberg', 'Christos Faloutsos']",10.1145/1217299.1217301,,ACM Trans. Knowl. Discov. Data,
article-journal,Exact and approximate graph matching using random walks,"['2005', '2005']","['Gori Marco', 'Maggini Marco', 'Sarti Lorenzo']",10.1109/TPAMI.2005.138,,IEEE Transactions on Pattern Analysis & Machine Intelligence,
paper-conference,"Bottom-up vs. top-down: trade-offs in efficiency, understanding, freedom and creativity with InfoVis tools",2017,"['Gonzalo Gabriel Méndez', 'Uta Hinrichs', 'Miguel A. Nacenta']",10.1145/3025453.3025942,,Proceedings of the 2017 CHI conference on human factors in computing systems. ACM,
paper-conference,Posgrami: possibilistic frequent subgraph mining in a single large graph,2016,"['Mohamed Moussaoui', 'Montaceur Zaghdoud', 'Jalel Akaichi']",temp2030,Springer,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,
,,"['2016', '2016']","['Annamalai Narayanan', 'Mahinthan Chandramohan', 'Lihui Chen', 'Yang Liu', 'Santhoshkumar Saminathan']",1606.08928,,,
,,"['2016', '2016']","['Annamalai Narayanan', 'Mahinthan Chandramohan', 'Lihui Chen', 'Yang Liu', 'Santhoshkumar Saminathan']",1606.08928,,,
,,2017,"['Annamalai Narayanan', 'Mahinthan Chandramohan', 'Rajasekar Venkatesan', 'Lihui Chen', 'Yang Liu', 'Shantanu Jaiswal']",1707.05005,,,
chapter,Pathfinder: Visual analysis of paths in graphs,2016,"['Christian Partl', 'Samuel Gratzl', 'Marc Streit', 'Anne Mai Wassermann', 'Hanspeter Pfister', 'Dieter Schmalstieg', 'Alexander Lex']",temp2034,Wiley Online Library,Computer Graphics Forum,
article-journal,Mining frequent subgraphs from tremendous amount of small graphs using MapReduce,"['2018', '2018']","['Zhe Peng', 'Tongtong Wang', 'Wei Lu', 'Hao Huang', 'Xiaoyong Du', 'Feng Zhao', 'Anthony K.H. Tung']",10.1007/s10115-017-1104-7,,Knowledge and Information Systems,
paper-conference,Scalable graph exploration and visualization: Sensemaking challenges and opportunities,2015,"['Robert Pienta', 'James Abello', 'Minsuk Kahng', 'Duen Horng Chau']",temp2036,IEEE,2015 International Conference on Big Data and Smart Computing (BIGCOMP,
article-journal,Frequent Subgraph Mining Algorithms-A Survey,"['2015', '2015']","['T. Ramraj', 'R. Prabhakar']",temp2037,,Procedia Computer Science,
paper-conference,struc2vec: Learning node representations from structural identity,2017,"['Leonardo F.R. Ribeiro', 'Pedro H.P. Saverese', 'Daniel R. Figueiredo']",10.1145/3097983.3098061,,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM,
paper-conference,FACETS: Adaptive Local Exploration of Large Graphs,2017,"['Robert Pienta', 'Minsuk Kahng', 'Zhiyuan Lin', 'Jilles Vreeken', 'Partha Talukdar', 'James Abello', 'Ganesh Parameswaran', 'Duen Horng Chau']",10.1137/1.9781611974973.67,,Proceedings of the 2017 SIAM International Conference on Data Mining. Society for Industrial and Applied Mathematics,"Philadelphia, PA"
article-journal,Efficient subgraph matching on billion node graphs,"['2012', '2012']","['Zhao Sun', 'Hongzhi Wang', 'Haixun Wang', 'Bin Shao', 'Jianzhong Li']",10.14778/2311906.2311907,,Proceedings of the Vldb Endowment,
article-journal,Multivariate network exploration and presentation: From detail to overview via selections and aggregations,"['2014', '2014']","['Stef Elzen', 'Jarke J. Wijk']",temp2041,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Structure-aware Fisheye Views for Efficient Large Graph Exploration,"['2018', '2018']","['Yunhai Wang', 'Yanyan Wang', 'Haifeng Zhang', 'Yinqi Sun', 'Chi-Wing Fu', 'Michael Sedlmair', 'Baoquan Chen', 'Oliver Deussen']",temp2042,,IEEE transactions on visualization and computer graphics,
paper-conference,gspan: Graph-based substructure pattern mining,2002,"['Xifeng Yan', 'Jiawei Han']",temp2043,,"2002 IEEE International Conference on Data Mining, 2002. Proceedings. IEEE",
article-journal,cmFSM: a scalable CPU-MIC coordinated drug-finding tool by frequent subgraph mining,"['2018', '2018']","['Shunyun Yang', 'Runxin Guo', 'Rui Liu', 'Xiangke Liao', 'Quan Zou', 'Benyun Shi', 'Shaoliang Peng']",temp2044,,BMC bioinformatics,
paper-conference,Local Higher-Order Graph Clustering,2017,"['Hao Yin', 'Austin R. Benson', 'Jure Leskovec', 'David F. Gleich']",10.1145/3097983.3098069,ACM,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD '17,"New York, NY, USA"
article-journal,Interactive Level-of-Detail Rendering of Large Graphs,2012,"['M. Zinsmaier', 'U. Brandes', 'O. Deussen', 'H. Strobelt']",10.1109/TVCG.2012.238,,IEEE Transactions on Visualization and Computer Graphics,
research-article,Evaluation of a novel visualization for dynamic social networks,2019,"['Valerie Riegler', 'Lina Wang', 'Johanna Doppler-Haider', 'Margit Pohl']",10.1145/3356422.3356426,ACM,vinci,
book,Temporal Visualization of Social Network Dynamics,2011,"['Jae-wook Ahn', 'Meirav Taieb-Maimon', 'Awalin Sopan', 'Catherine Plaisant', 'Ben Shneiderman']",temp2047,Prototypes for Nation of Neighbors,,
paper-conference,Towards an aesthetic dimensions framework for dynamic graph visualisations,2009,"['F. Beck', 'M. Burch', 'S. Diehl']",10.1109/IV.2009.42,,Proceedings of the 13th International Conference on Information Visualisation,
,The state of the art in visualizing dynamic graphs,"['2014', '2014']","['Fabian Beck', 'Michael Burch', 'Stephan Diehl', 'Daniel Weiskopf']",temp2049,,,EuroVis STAR
paper-conference,Edge-Stacked Timelines for Visualizing Dynamic Weighted Digraphs,2015,"['Michael Burch', 'Tanja Munz', 'Daniel Weiskopf']",=10.5220/0005259200930100,,Proceedings of the International Conference on Information Visualization Theory and Applications (IVAPP,
paper-conference,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,"['2004', '2004']","['Mohammad Ghoniem', 'Jean-Daniel Fekete', 'Philippe Castagliola']",temp2051,,"IEEE Symposium on Information Visualization, 2004. INFOVIS",
chapter,NetVisia,"['2011', '2011']","['Robert Gove', 'Nick Gramsky', 'Rose Kirby', 'Emre Sefer', 'Awalin Sopan', 'Cody Dunne', 'Ben Shneiderman', 'Meirav Taieb-Maimon']",temp2052,,Heat Map & Matrix Visualization of Dynamic Social Network Statistics & Content. SocialCom/PASSAT 2011,
,MatLink: Enhanced Matrix Visualization for Analyzing Social Networks,2007,"['Nathalie Henry', 'Jean-Daniel Fekete']",temp2053,,,
article-journal,Visual adjacency lists for dynamic graphs,"['2014', '2014']","['Marcel Hlawatsch', 'Michael Burch', 'Daniel Weiskopf']",temp2054,,IEEE transactions on visualization and computer graphics,
article-journal,A Task Taxonomy for temporal Graph Visualisation,"['2015', '2015']","['Natalie Kerracher', 'Jessie Kennedy', 'Kevin Chalmers']",10.1109/TVCG.2015.2424889,,IEEE transactions on visualization and computer graphics,
paper-conference,"Who, Where, When and with Whom? Evaluation of Group Meeting Visualizations",2016,"['Simone Kriglstein', 'Johanna Haider', 'Günter Wallner', 'Margit Pohl']",temp2056,,Proceedings of the 9th International Conference on the Theory and Application of Diagrams 2016,Philadelphia
article-journal,Empirical studies in information visualization: Seven scenarios,"['2012', '2012']","['Heidi Lam', 'Enrico Bertini', 'Petra Isenberg', 'Catherine Plaisant', 'Sheelagh Carpendale']",temp2057,,IEEE transactions on visualization and computer graphics,
chapter,Task taxonomy for graph visualization,2006,"['B. Lee', 'C. Plaisant', 'C. Simsparr', 'J.D. Fekete', 'N. Henry']",10.1145/1168149.1168168,,In,
,,,"['Dongyu Liu', 'Fangzhou Guo', 'Bowen Deng', 'Yingcai Wu', 'Huamin Qu']",temp2059,,,
paper-conference,Design for intelligence analysis of complex systems: evolution of criminal networks,2016,"['Patrick Seidler', 'Johanna Haider', 'B.L.William Wong Neesha Kodagoda', 'Margit Pohl', 'Richard Adderley']",temp2060,,"Intelligence and Security Informatics Conference (EISIC), 2016 European. IEEE",
paper-conference,A key technology survey and summary of dynamic network visualization,2017,"['Yu Shaobo', 'Wu Lingda']",temp2061,,"Software Engineering and Service Science (ICSESS), 2017 8th IEEE International Conference on. IEEE",
paper-conference,Analyzing (Social Media) Networks with NodeXL,2009,"['Marc A. Smith', 'Ben Shneiderman', 'Natasa Milic-Frayling', 'Eduarda Mendes Rodrigues', 'Vladimir Barash', 'Cody Dunne', 'Tony Capone', 'Adam Perer', 'Eric Gleave']",10.1145/1556460.1556497,,Proceedings of the Fourth International Conference on Communities and Technologies,
article-journal,"Polaris: a system for query, analysis, and visualization of multidimensional relational databases","['2002', '2002-01']","['Chris Stolte', 'Diane Tang', 'Pat Hanrahan']",10.1109/2945.981851,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Visualizing the Evolution of Communities in Dynamic Graphs,"['2015', '2015']","['Corinna Vehlow', 'Fabian Beck', 'Patrick Auwärter', 'Daniel Weiskopf']",10.1111/cgf.12512,,Computer Graphics Forum,
paper-conference,An Analytic Data Engine for Visualization in Tableau,"['2011', '1185']","['Richard Wesley', 'Matthew Eldridge', 'Pawel T. Terlecki']",temp2065,ACM,Proceedings of the 2011 ACM SIGMOD International Conference on Management of Data (SIGMOD '11,"New York, NY, USA"
short-paper,Multidimensional Traffic State Discrimination Based on Floating Car Data,2019,"['Mengting Sun', 'Haiping Wei', 'Li Xu', 'Xingying Li']",10.1145/3356422.3356431,ACM,vinci,
thesis,Design and implementation of urban real-time traffic geographical information management system,2017,['Z.M. Chen'],temp2066,Southwest Jiaotong University,,"Chengdu, Sichuan, China"
article-journal,A prediction model for traffic congestion in complex urban road networks,2016,"['Z. Liu', 'J. Li', 'C. Wang', ' ']",temp2067,,Journal of University of Electronic Science and Technology of China,
article-journal,The regional network traffic evaluation based on floating car data,2017,"['W. Wan', 'Z.H. Wang', 'M.Q. Li']",temp2068,,Science Technology and Engineering,
article-journal,Optimization on estimation algorithms of travel speed based on the real-time floating car data,2007,"['J.C. Weng', 'J. Rong', 'Q. Quan', ' ']",temp2069,,JOURNAL OF BEIJING UNIVERSITY OF TECHNOLOGY,
thesis,Urban traffic condition identification and short-term prediction based on GPS data of floating car,2017,['J.C. Yao'],temp2070,Dalian Maritime University,,"Dalian, Liaoning, China"
article-journal,Detection of traffic congestion based on GPS data,2017,"['Y.R. Zhang', 'H.T. Zhao', 'N.J. Liu', ' ']",temp2071,,COMPUTER TECHNOLOGY AND DEVELOPMENT,
article-journal,Discovery of heavy traffic areas based on DBSCAN algorithm,2015,"['C. Liu', 'Z.J.Li S.X. Jiang']",temp2072,,INTELLIGENT COMPUTER AND APPLICATIONS,
article-journal,Urban traffic congestion detection based on clustering analysis of real-time traffic data,2012,"['X.Y. Lu', 'Z.H. Song', 'Z. Xu', ' ']",temp2073,,JOURNAL OF GEOINFORMATION SCIENCE,
paper-conference,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,"['M. Ester', 'H.P. Kriegel', 'J. Sander', ' ']",temp2074,,Proceedings of the 2nd International Conference on Knowledge Discovery and Data Mining,"Portland, Oregon, USA"
article-journal,On the Spatial and Temporal Distribution of Traffic Information Based on GPS Floating Car Data,2015,"['J.W. Shen', 'T.G. Zhou', 'X.B. Zhu']",temp2075,,Journal of Southwest University (Natural Science,
thesis,The real-time traffic status acquirement and system assessment based on taxis GPS trajectory data,2016,['T.T. Yang'],temp2076,East China Normal University,,"Shanghai, China"
short-paper,Web-based Visualization of Transportation Networks for Mobility Analytics,2019,"['Alexander Schoedon', 'Matthias Trapp', 'Henning Hollburg', 'Daniel Gerber', 'Jürgen Döllner']",10.1145/3356422.3356425,ACM,vinci,
article-journal,A network analysis of airport accessibility in South Hampshire,"['1972', '1972']",['Harvey W. Armstrong'],temp2077,,Journal of Transport Economics and Policy,
,"Computing Isochrones in Multi-Modal, Schedule-Based Public Transport Networks Bachelorarbeit","['2011', '2011']",['Marco Birchler'],temp2078,,,
report,Urban Mobility in the Smart City Age,2016,"['Volker Buscher', 'Léan Doody', 'Molly Webb', 'Charbel Aoun']",temp2079,"Schneider Electric, Arup, and The Climate Group",,
,Travel Time Tube Map,2006,['Tom Carden'],temp2080,,,
,Transportation - Land Use Analysis,2012,['Conveyal '],temp2081,,,
book,"Comparing Vector and Raster Mapping for Internet Applications. ESRI®, ESRI 380",2006,['E.S.R.I.® '],temp2082,USA,,"New York St., Redlands, CA"
,How far can I travel,2009,['FreeMapTools '],temp2083,,,
chapter,Toward Web Mapping with Vector Data,2012,['Julien Gaffuri'],temp2084,Springer,"GIScience (Lecture Notes in Computer Science), Ningchuan Xiao",
article-journal,Accessibility maps for the visualization of quality of mobility in public transport,2010,"['Tassilo Glander', 'Martin Kramer', 'Jürgen Döllner']",temp2085,,Kartographische Nachrichten,
,Isoscope -- Visualizing temporal mobility variance with isochrone maps,"['2014', '2014']","['Flavio Gortana', 'Sebastian Kaim', 'Martin Lupin', 'Till Nagel']",temp2086,,,
article-journal,How accessibility shapes land use,"['1959', '1959']",['Walter G. Hansen'],abs/10.1080/01944365908978307,,Journal of the American Institute of planners,
thesis,Interaktive Analyse und Visualisierung der Erreichbarkeit in Verkehrsnetzen,2014,['Henning Hollburg'],temp2088,Universitsät Potsdam,,
paper-conference,"Hier bin ich -- was kann ich erreichen? Webbasierte, interaktive Erreichbarkeitsanalyse touristischer Ziele der Stadt Potsdam",2012,"['Henning Hollburg', 'Christoph Sinn', 'Patrick Voland']",temp2089,german,Proceedings AGIT,
,More travel-time maps and their uses,2006,['Francis Irving'],temp2090,,,
chapter,WebGL Specification,2016,"['Dean Jackson', 'Jeff Gilbert']",temp2091,,The Khronos Group Inc,
paper-conference,Interactive Visualization for Real-time Public Transport Journey Planning,2012,"['Josua Krause', 'Marc Spicker', 'Leonard Wörteler', 'Matthias Schaefer', 'Leishi Zhang', 'Hendrik Strobelt']",temp2092,,Proceedings of SIGRAD 2012 -- Interactive Visual Analysis of Data,
,Mapumental,2006,"['Chris Lightfoot', 'Francis Irving']",temp2093,,,
chapter,Featured Graphic. Travel time maps of urban areas in the Netherlands,2012,['Vincent Meertens'],temp2094,,Environment and Planning A,
,Transit Time NYC,2013,"['Steven Melendez', 'John Keefe', 'Louise Ma']",temp2095,,,
article-journal,"The mapping of travel time in Edmonton, Alberta","['1978', '1978']",['Jean-Claude Muller'],temp2096,,The Canadian Geographer/Le Géographe canadien,
paper-conference,Distance Transformations for Accessibility Mapping in the Public Transport Domain: A Performance Assessment,2010,"['Matthias Müller', 'Tassilo Glander']",temp2097,,Proceedings of GIScience,
,Webbasierte Erreichbarkeitsanalyse--Vorschläge zur Definition eines Accessibility Analysis Service (AAS) auf Basis des OpenLS Route Service. na,2007,"['Pascal Neis', 'Alexander Zipf', 'Rainer Helsper', 'Alexander Kehl']",temp2098,,,
patent,Method of providing travel time,2001,['Bin Ran'],temp2099,,,
,Triptrop NYC,2012,['Jonathan Soma'],temp2100,,,
article-journal,TimeContours: Using isochrone visualisation to describe transport network travel cost,"['2006', '2006']",['Nicholas Street'],temp2101,,Final Report,
thesis,Travel time maps,2010,['Martijn Campenhout'],temp2102,"Master Thesis, Technische Universiteit Eindhoven",,Eindhoven
,Mapnificent - Dynamic Public Transport Travel Time Maps,2012,['Stefan Wehrmeyer'],temp2103,,,
chapter,Understanding Transportation Accessibility of Metropolitan Chicago Through Interactive Visualization,2015,"['Shi Yin', 'Moyin Li', 'Nebiyou Tilahun', 'Angus Forbes', 'Andrew Johnson']",10.1145/2835022.2835036,,The First International Workshop on Smart Cities and Urban Analytics (UrbanGIS). ACM,
research-article,EyeClouds: A Visualization and Analysis Tool for Exploring Eye Movement Data,2019,"['Michael Burch', 'Alberto Veneri', 'Bangjie Sun']",10.1145/3356422.3356423,ACM,vinci,
article-journal,Visualization of Eye Tracking Data: A Taxonomy and Survey,"['2017', '2017']","['Tanja Blascheck', 'Kuno Kurzhals', 'Michael Raschke', 'Michael Burch', 'Daniel Weiskopf', 'Thomas Ertl']",10.1111/cgf.13079,,Computer Graphics Forum,
paper-conference,Visual span and other parameters for the generation of heatmaps,2010,['Pieter J. Blignaut'],10.1145/1743666.1743697,,"Proceedings of the 2010 Symposium on Eye-Tracking Research & Applications, ETRA",
chapter,Informative or Misleading? Heatmaps Deconstructed,2009,['Agnieszka Bojko'],temp2107,Springer,Human-Computer Interaction - INTERACT,
paper-conference,Time-Preserving Visual Attention Maps,2016,['Michael Burch'],temp2108,,Proceedings of Conference on Intelligent Decision Technologies,
article-journal,Mining and visualizing eye movement data,2017,['Michael Burch'],10.1145/3139295.3139304,,Proceedings of SIGGRAPH ASIA Symposium on Visualization,
paper-conference,Visual Analysis of Eye Movement Data with Fixation Distance Plots,2017,['Michael Burch'],temp2110,,Proceedings of Conference on Intelligent Decision Technologies,
paper-conference,Identifying Similar Eye Movement Patterns with t-SNE,2018,['Michael Burch'],10.2312/vmv.20181260,,"Proceedings of Vision, Modeling & Visualization",
paper-conference,Visual Task Solution Strategies in Tree Diagrams,2013,"['Michael Burch', 'Gennady L. Andrienko', 'Natalia V. Andrienko', 'Markus Höferlin', 'Michael Raschke', 'Daniel Weiskopf']",temp2112,,Proceedings of IEEE Pacific Visualization Symposium,
,AOI Rivers for Visualizing Dynamic Eye Gaze Frequencies,2013,"['Michael Burch', 'Andreas Kull', 'Daniel Weiskopf']",10.5555/2600534.2600573,,,
article-journal,Finding the outliers in scanpath data,2019,"['Michael Burch', 'Ayush Kumar', 'Klaus Mueller', 'Titus Kervezee', 'Wouter Nuijten', 'Rens Oostenbach', 'Lucas Peeters', 'Gijs Smit']",temp2114,,"Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications, ETRA",
article-journal,An interactive web-based visual analytics tool for detecting strategic eye movement patterns,2019,"['Michael Burch', 'Ayush Kumar', 'Neil Timmermans']",temp2115,,"Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications, ETRA",
article-journal,EyeMSA: exploring eye movement data with pair-wise and multiple sequence alignment,2018,"['Michael Burch', 'Kuno Kurzhals', 'Niklas Kleinhans', 'Daniel Weiskopf']",temp2116,,"Proceedings of the 2018 ACM Symposium on Eye Tracking Research & Applications, ETRA",
paper-conference,Visual Task Solution Strategies in Public Transport Maps,2014,"['Michael Burch', 'Kuno Kurzhals', 'Daniel Weiskopf']",temp2117,,Proceedings of ET4S@GISCIENCE,
paper-conference,Prefix Tag Clouds,2013,"['Michael Burch', 'Steffen Lohmann', 'Daniel Pompe', 'Daniel Weiskopf']",10.1109/IV.2013.5,,Proceedings of International Conference on Information Visualisation,
,,2003,['Andrew T. Duchowski'],10.5555/640601,,,
article-journal,Graph drawing by Force-directed placement,1991,[' '],10.1002/spe.4380211102,,Software Practice and Experience,
book,Eye Tracking: A Comprehensive Guide to Methods and Measures,2011,"['Kenneth Holmqvist', 'Marcus Nyström', 'Richard Andersson', 'Richard Dewhurst', 'Halszka Jarodzka', 'Joost Weijer']",temp2121,Oxford University Press,,
paper-conference,"Tag Clouds: Past, Present and Future",2018,"['Shah Khusro', 'Fouzia Jabeen', 'Aisha Khan']",temp2122,,"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",
article-journal,Clustered eye movement similarity matrices,2019,"['Ayush Kumar', 'Neil Timmermans', 'Michael Burch', 'Klaus Mueller']",temp2123,,"Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications, ETRA",
